,pageviews
2007-12-31,1174
2008-01-31,2716
2008-02-29,2428
2008-03-31,2199
2008-04-30,2786
2008-05-31,2785
2008-06-30,2481
2008-07-31,779
2008-08-31,2305
2008-09-30,3393
2008-10-31,3256
2008-11-30,3772
2008-12-31,2596
2009-01-31,3248
2009-02-28,3705
2009-03-31,4274
2009-04-30,3792
2009-05-31,3499
2009-06-30,3276
2009-07-31,3057
2009-08-31,3414
2009-09-30,4510
2009-10-31,4059
2009-11-30,3785
2009-12-31,2893
2010-01-31,3360
2010-02-28,3274
2010-03-31,3215
2010-04-30,3343
2010-05-31,2762
2010-06-30,1774
2010-07-31,1896
2010-08-31,3070
2010-09-30,3424
2010-10-31,3469
2010-11-30,3432
2010-12-31,2524
2011-01-31,2962
2011-02-28,2867
2011-03-31,2948
2011-04-30,2630
2011-05-31,3770
2011-06-30,2930
2011-07-31,2837
2011-08-31,2884
2011-09-30,3532
2011-10-31,4008
2011-11-30,4672
2011-12-31,2923
2012-01-31,4387
2012-02-29,4117
2012-03-31,4587
2012-04-30,5944
2012-05-31,4379
2012-06-30,3824
2012-07-31,3961
2012-08-31,4758
2012-09-30,5102
2012-10-31,5746
2012-11-30,5608
2012-12-31,4375
2013-01-31,6432
2013-02-28,6899
2013-03-31,6213
2013-04-30,6508
2013-05-31,6806
2013-06-30,5524
2013-07-31,5681
2013-08-31,4296
2013-09-30,4295
2013-10-31,5605
2013-11-30,6668
2013-12-31,3706
2014-01-31,3839
2014-02-28,3906
2014-03-31,4532
2014-04-30,3716
2014-05-31,3707
2014-06-30,3126
2014-07-31,3047
2014-08-31,3089
2014-09-30,4046
2014-10-31,4839
2014-11-30,3479
2014-12-31,2791
2015-01-31,3561
2015-02-28,3169
2015-03-31,2959
